Date,Time Control,White,Black,White Rating,Black Rating,White Country,Black Country,Result,Did Jerry Win?,White Accuracy,Black Accuracy,Jerry Accuracy,Moves,Day_of_Week,Color_Played,Opponent Rating,Did Jerry Win numeric,Opponent Accuracy,Color_Played numeric
2023-12-04,3 min,BorskieUSA,Dizzyscar,1065,1051,United States,United States,Black,Win,54.6,65.2,65.2,64,Monday,Black,1065,1,54.6,-1
2023-12-04,3 min,Dizzyscar,James3505,1042,1017,United States,United States,Draw,Draw,83.3,83,83.3,53,Monday,White,1017,0,83,1
2023-12-04,3 min,Dizzyscar,Aint_No_Whey,1043,1070,United States,United States,White,Win,80.2,58.2,80.2,13,Monday,White,1070,1,58.2,1
2023-12-04,3 min,hanslimmbach,Dizzyscar,1055,1034,Germany,United States,White,Loss,74.1,54.8,54.8,14,Monday,Black,1055,0,74.1,-1
2023-12-04,3 min,Dizzyscar,david-jameschartrand,1042,1050,United States,Canada,White,Win,56.5,46.4,56.5,17,Monday,White,1050,1,46.4,1
2023-12-04,3 min,Dizzyscar,vikram9401,1033,1034,United States,United States,White,Win,73.1,67.2,73.1,49,Monday,White,1034,1,67.2,1
2023-12-04,3 min,awill9595,Dizzyscar,999,1025,United States,United States,White,Loss,81.4,75.7,75.7,77,Monday,Black,999,0,81.4,-1
2023-12-04,3 min,Cash-Me-Outsyde,Dizzyscar,934,1034,United States,United States,Black,Win,72.3,81.1,81.1,19,Monday,Black,934,1,72.3,-1
2023-12-04,3 min,Dizzyscar,Iam_Pentameter,1028,972,United States,United States,White,Win,76.8,74.8,76.8,40,Monday,White,972,1,74.8,1
2023-12-04,3 min,taylor_farrington,Dizzyscar,1031,1021,United States,United States,Black,Win,66.7,73.7,73.7,34,Monday,Black,1031,1,66.7,-1
2023-12-04,3 min,Dizzyscar,Bandit-the-cat,1012,994,United States,United States,White,Win,71.2,57.9,71.2,25,Monday,White,994,1,57.9,1
2023-12-02,3 min,Dizzyscar,AnzeO,1004,1060,United States,Slovenia,Black,Loss,61.2,73.6,61.2,26,Saturday,White,1060,0,73.6,1
2023-12-02,3 min,Senapsbert,Dizzyscar,972,1011,Sweden,United States,Black,Win,52.6,63.3,63.3,43,Saturday,Black,972,1,52.6,-1
2023-12-02,3 min,Dizzyscar,Alokjoshi21,1004,1014,United States,India,White,Win,84.4,70.3,84.4,36,Saturday,White,1014,1,70.3,1
2023-12-02,3 min,vmitch297,Dizzyscar,1081,995,Australia,United States,White,Loss,83,79.5,79.5,47,Saturday,Black,1081,0,83,-1
2023-12-02,3 min,Dizzyscar,vmitch297,1001,1075,United States,Australia,Black,Loss,42.7,54.9,42.7,24,Saturday,White,1075,0,54.9,1
2023-12-02,3 min,vmitch297,Dizzyscar,1068,1008,Australia,United States,White,Loss,65.8,60.3,60.3,33,Saturday,Black,1068,0,65.8,-1
2023-12-02,3 min,Dizzyscar,vmitch297,1015,1061,United States,Australia,White,Win,64,48.3,64,25,Saturday,White,1061,1,48.3,1
2023-12-02,3 min,aplesuzz,Dizzyscar,947,1006,Nicaragua,United States,Black,Win,48.4,64.8,64.8,31,Saturday,Black,947,1,48.4,-1
2023-12-02,3 min,Dizzyscar,laurastinderoni,999,954,United States,United States,Black,Loss,61.8,66.3,61.8,38,Saturday,White,954,0,66.3,1
2023-12-02,3 min,Hassankhazraee,Dizzyscar,1040,1008,International,United States,White,Loss,60.1,51.2,51.2,24,Saturday,Black,1040,0,60.1,-1
2023-12-02,3 min,binujacob,Dizzyscar,958,1016,India,United States,Black,Win,59.7,67.2,67.2,38,Saturday,Black,958,1,59.7,-1
2023-12-02,3 min,Dizzyscar,auria543211,1009,1026,United States,Israel,Black,Loss,73.6,76.6,73.6,42,Saturday,White,1026,0,76.6,1
2023-12-02,3 min,ramsyirani,Dizzyscar,993,1017,Belgium,United States,White,Loss,58.4,52.2,52.2,44,Saturday,Black,993,0,58.4,-1
2023-12-02,3 min,max_5047,Dizzyscar,1054,1026,International,United States,Black,Win,73.3,80.4,80.4,42,Saturday,Black,1054,1,73.3,-1
2023-12-02,3 min,Dizzyscar,CountTheBullets,1017,981,United States,Colombia,White,Win,77.6,56.1,77.6,23,Saturday,White,981,1,56.1,1
2023-11-30,3 min,IvanRatio2,Dizzyscar,1054,1009,Ukraine,United States,White,Loss,89.4,79.2,79.2,26,Thursday,Black,1054,0,89.4,-1
2023-11-30,3 min,Dizzyscar,hamburgooo,1016,1026,United States,Germany,White,Win,59.5,51.3,59.5,40,Thursday,White,1026,1,51.3,1
2023-11-30,3 min,hamburgooo,Dizzyscar,1035,1007,Germany,United States,Black,Win,65.8,77.3,77.3,28,Thursday,Black,1035,1,65.8,-1
2023-11-30,3 min,Dizzyscar,vewdoo,998,955,United States,England,White,Win,64.2,68.2,64.2,54,Thursday,White,955,1,68.2,1
2023-11-30,3 min,Dizzyscar,Z_Machine,991,999,United States,United States,Black,Loss,74.2,73.3,74.2,35,Thursday,White,999,0,73.3,1
2023-11-30,3 min,Dizzyscar,JMAedo,999,944,United States,Spain,White,Win,65,52,65,17,Thursday,White,944,1,52,1
2023-11-30,3 min,Oaktownoaks,Dizzyscar,1012,992,United States,United States,Black,Win,67.8,77.7,77.7,31,Thursday,Black,1012,1,67.8,-1
2023-11-30,3 min,archieboyqq,Dizzyscar,938,983,United States,United States,Black,Win,72.9,74.7,74.7,33,Thursday,Black,938,1,72.9,-1
2023-11-29,3 min,Dizzyscar,karan5222,976,962,United States,India,Black,Loss,64.9,72.7,64.9,48,Wednesday,White,962,0,72.7,1
2023-11-29,3 min,karan5222,Dizzyscar,953,985,India,United States,White,Loss,86.4,79.6,79.6,59,Wednesday,Black,953,0,86.4,-1
2023-11-29,3 min,Dizzyscar,karan5222,994,944,United States,India,White,Win,59.4,62.4,59.4,34,Wednesday,White,944,1,62.4,1
2023-11-29,3 min,Dizzyscar,ZaapChess,987,962,United States,Finland,Black,Loss,62.6,76,62.6,20,Wednesday,White,962,0,76,1
